AAPL,
MSFT,
AMZN,
FB,
GOOGL,
GOOG,
BRKB,
JNJ,
V,
PG,
NVDA,
JPM,
MA,
TSLA,
UNH,
HD,
VZ,
ADBE,
DIS,
PYPL,
CRM,
NFLX,
MRK,
INTC,
T,
PFE,
WMT,
CMCSA,
BAC,
KO,
PEP,
ABT,
CSCO,
TMO,
XOM,
ABBV,
MCD,
CVX,
COST,
ACN,
AMGN,
MDT,
AVGO,
NEE,
NKE,
BMY,
LIN,
QCOM,
TXN,
UNP,
DHR,
LLY,
PM,
LOW,
HON,
ORCL,
UPS,
AMT,
IBM,
C,
SBUX,
AMD,
LMT,
MMM,
FIS,
WFC,
CHTR,
BA,
NOW,
RTX,
ISRG,
INTU,
SPGI,
BLK,
GILD,
MDLZ,
MO,
BKNG,
CAT,
CVS,
ZTS,
PLD,
TGT,
ANTM,
VRTX,
SYK,
GS,
AXP,
CCI,
EQIX,
TJX,
D,
APD,
CL,
CI,
BDX,
ZM,
TMUS,
ATVI,
ITW,
CME,
ADP,
DUK,
DE,
MMC,
BSX,
MS,
CSX,
AMAT,
SHW,
FISV,
REGN,
HUM,
ICE,
CB,
SO,
SQ,
GE,
PGR,
NSC,
FDX,
NOC,
ADSK,
NEM,
EW,
GPN,
TFC,
MU,
KMB,
ILMN,
ECL,
USB,
LRCX,
DG,
EL,
PNC,
MCO,
AON,
WM,
UBER,
BIIB,
ROP,
ADI,
DD,
BAX,
SCHW,
EMR,
ETN,
AEP,
DLR,
LHX,
COP,
GD,
WDAY,
GIS,
DXCM,
EA,
GM,
EXC,
HCA,
CTSH,
DOW,
SRE,
EBAY,
CNC,
SBAC,
ROST,
USD,
PSA,
COF,
STZ,
MNST,
SYY,
BK,
MET,
ALL,
TRV,
YUM,
MAR,
WBA,
KMI,
SLB,
AFL,
PSX,
AIG,
EOG,
TEAM,
XTSLA,
KHC,
VLO,
LVS,
KDP,
VMW,
DELL,
SCCO,
JPFFT,
ESU0
